NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
6.35208e+168 -1.94433e-05 5e-08
6.15203e+168 -1.94417e-05 5e-08
5.95828e+168 -1.94401e-05 5e-08
5.77063e+168 -1.94385e-05 5e-08
5.5889e+168 -1.94369e-05 5e-08
5.41288e+168 -1.94353e-05 5e-08
5.24241e+168 -1.94337e-05 5e-08
5.07731e+168 -1.94321e-05 5e-08
4.91741e+168 -1.94305e-05 5e-08
4.76254e+168 -1.94289e-05 5e-08
4.61255e+168 -1.94273e-05 5e-08
4.46729e+168 -1.94257e-05 5e-08
4.3266e+168 -1.94241e-05 5e-08
4.19034e+168 -1.94225e-05 5e-08
4.05837e+168 -1.94209e-05 5e-08
3.93056e+168 -1.94193e-05 5e-08
3.80677e+168 -1.94177e-05 5e-08
3.68688e+168 -1.94161e-05 5e-08
3.57077e+168 -1.94145e-05 5e-08
3.45832e+168 -1.94129e-05 5e-08
3.3494e+168 -1.94113e-05 5e-08
3.24392e+168 -1.94097e-05 5e-08
3.14176e+168 -1.94081e-05 5e-08
3.04281e+168 -1.94065e-05 5e-08
2.94698e+168 -1.94049e-05 5e-08
2.85417e+168 -1.94033e-05 5e-08
2.76428e+168 -1.94017e-05 5e-08
2.67723e+168 -1.94001e-05 5e-08
2.59291e+168 -1.93985e-05 5e-08
2.51125e+168 -1.93969e-05 5e-08
2.43216e+168 -1.93953e-05 5e-08
2.35557e+168 -1.93937e-05 5e-08
2.28138e+168 -1.93921e-05 5e-08
2.20953e+168 -1.93905e-05 5e-08
2.13995e+168 -1.93889e-05 5e-08
2.07255e+168 -1.93873e-05 5e-08
2.00728e+168 -1.93857e-05 5e-08
1.94407e+168 -1.93841e-05 5e-08
1.88284e+168 -1.93825e-05 5e-08
1.82354e+168 -1.93809e-05 5e-08
1.76611e+168 -1.93793e-05 5e-08
1.71049e+168 -1.93777e-05 5e-08
1.60445e+168 -1.93745e-05 5e-08
1.41168e+168 -1.93681e-05 5e-08
1.24207e+168 -1.93617e-05 5e-08
9.61541e+167 -1.93489e-05 5e-08
5.76247e+167 -1.93233e-05 5e-08
3.45343e+167 -1.92977e-05 5e-08
